trip,stopId,stopName,timestamp,delay,variant,status
3037705,14825,2022-04-14 21:42:06,6,T201R12,REALTIME
3037705,14827,2022-04-14 21:45:00,None,T201R12,SCHEDULED
3037705,14821,2022-04-14 21:47:00,None,T201R12,SCHEDULED
3037705,14819,2022-04-14 21:48:00,None,T201R12,SCHEDULED
3037705,14818,2022-04-14 21:49:00,None,T201R12,SCHEDULED
3037705,14815,2022-04-14 21:50:00,None,T201R12,SCHEDULED
3037705,14547,2022-04-14 21:51:00,None,T201R12,SCHEDULED
3037705,14546,2022-04-14 21:53:00,None,T201R12,SCHEDULED
3037705,14540,2022-04-14 21:55:00,None,T201R12,SCHEDULED
3037705,14538,2022-04-14 21:56:00,None,T201R12,SCHEDULED
3037705,14536,2022-04-14 21:58:00,None,T201R12,SCHEDULED
3037705,2150,2022-04-14 22:01:00,None,T201R12,SCHEDULED
3037705,2148,2022-04-14 22:02:00,None,T201R12,SCHEDULED
3037705,2146,2022-04-14 22:03:00,None,T201R12,SCHEDULED
3037705,2144,2022-04-14 22:04:00,None,T201R12,SCHEDULED
3037705,2142,2022-04-14 22:05:00,None,T201R12,SCHEDULED
3037705,2140,2022-04-14 22:07:00,None,T201R12,SCHEDULED
3037705,2138,2022-04-14 22:10:00,None,T201R12,SCHEDULED
3037705,2005,2022-04-14 22:15:00,None,T201R12,SCHEDULED
3037705,2007,2022-04-14 22:16:00,None,T201R12,SCHEDULED
3037705,2009,2022-04-14 22:17:00,None,T201R12,SCHEDULED
3037705,2011,2022-04-14 22:19:00,None,T201R12,SCHEDULED
3037705,2015,2022-04-14 22:21:00,None,T201R12,SCHEDULED
3037705,2017,2022-04-14 22:22:00,None,T201R12,SCHEDULED
3037705,2019,2022-04-14 22:24:00,None,T201R12,SCHEDULED
3037705,2021,2022-04-14 22:26:00,None,T201R12,SCHEDULED
3037705,2023,2022-04-14 22:27:00,None,T201R12,SCHEDULED
3037705,2025,2022-04-14 22:29:00,None,T201R12,SCHEDULED
3037705,2027,2022-04-14 22:31:00,None,T201R12,SCHEDULED
3037705,2029,2022-04-14 22:32:00,None,T201R12,SCHEDULED
3037705,2031,2022-04-14 22:33:00,None,T201R12,SCHEDULED
3037705,2033,2022-04-14 22:34:00,None,T201R12,SCHEDULED
3037705,2035,2022-04-14 22:36:00,None,T201R12,SCHEDULED
3037705,2037,2022-04-14 22:37:00,None,T201R12,SCHEDULED
3037705,2039,2022-04-14 22:38:00,None,T201R12,SCHEDULED
3037705,2041,2022-04-14 22:39:00,None,T201R12,SCHEDULED
3037705,2043,2022-04-14 22:40:00,None,T201R12,SCHEDULED
3037705,202,2022-04-14 22:42:00,None,T201R12,SCHEDULED
3071843,14825,Lawendowe Wzgórze,2022-04-15 21:42:04,4,T201R12,REALTIME
3071843,14827,Ujeœcisko,2022-04-15 21:45:00,None,T201R12,SCHEDULED
3071843,14821,Zabornia,2022-04-15 21:47:00,None,T201R12,SCHEDULED
3071843,14819,Stolema,2022-04-15 21:48:00,None,T201R12,SCHEDULED
3071843,14818,£abêdzia,2022-04-15 21:49:00,None,T201R12,SCHEDULED
3071843,14815,Królewskie Wzgórze,2022-04-15 21:50:00,None,T201R12,SCHEDULED
3071843,14547,Migowo,2022-04-15 21:51:00,None,T201R12,SCHEDULED
3071843,14546,Budapesztañska,2022-04-15 21:53:00,None,T201R12,SCHEDULED
3071843,14540,Warneñska,2022-04-15 21:55:00,None,T201R12,SCHEDULED
3071843,14538,Belgradzka,2022-04-15 21:56:00,None,T201R12,SCHEDULED
3071843,14536,Piekarnicza,2022-04-15 21:58:00,None,T201R12,SCHEDULED
3071843,2150,Siedlce,2022-04-15 22:01:00,None,T201R12,SCHEDULED
3071843,2148,Skrajna,2022-04-15 22:02:00,None,T201R12,SCHEDULED
3071843,2146,Zakopiañska,2022-04-15 22:03:00,None,T201R12,SCHEDULED
3071843,2144,Ciasna,2022-04-15 22:04:00,None,T201R12,SCHEDULED
3071843,2142,Paska,2022-04-15 22:05:00,None,T201R12,SCHEDULED
3071843,2140,Powstañców Warszawskich,2022-04-15 22:07:04,4,T201R12,REALTIME
3071843,2138,Hucisko,2022-04-15 22:10:00,None,T201R12,SCHEDULED
3071843,2001,Dworzec G³ówny,2022-04-15 22:12:04,4,T201R12,REALTIME
3071843,2005,Brama Oliwska,2022-04-15 22:15:24,24,T201R12,REALTIME
3071843,2007,Chodowieckiego,2022-04-15 22:16:56,56,T201R12,REALTIME
3071843,2009,Uniwersytet Medyczny,2022-04-15 22:17:35,35,T201R12,REALTIME
3071843,2011,Traugutta,2022-04-15 22:19:00,None,T201R12,SCHEDULED