tram_line,start_date,end_date
7,2022-04-19 05:50:12,2022-04-19 06:30:12
2,2022-04-19 05:50:12,2022-04-19 06:30:12
8,2022-04-19 05:50:12,2022-04-19 06:30:12
9,2022-04-19 05:50:12,2022-04-19 06:30:12
6,2022-04-19 05:50:12,2022-04-19 06:30:12
3,2022-04-19 05:50:12,2022-04-19 06:30:12
9,2022-04-19 13:41:30,2022-04-19 14:41:30
6,2022-04-19 13:41:30,2022-04-19 14:41:30
5,2022-04-19 13:41:30,2022-04-19 14:41:30
12,2022-04-19 13:41:30,2022-04-19 14:41:30
10,2022-04-20 15:39:33,2022-04-20 18:37:25
12,2022-04-20 15:39:33,2022-04-20 18:37:25
6,2022-04-22 13:14:47,2022-04-22 15:45:47
10,2022-04-22 13:14:47,2022-04-22 15:45:47
2,2022-04-22 13:14:47,2022-04-22 15:45:47
7,2022-04-22 13:14:47,2022-04-22 15:45:47
8,2022-04-22 13:14:47,2022-04-22 15:45:47
3,2022-04-22 13:14:47,2022-04-22 15:45:47
9,2022-04-22 13:14:47,2022-04-22 15:45:47
12,2022-04-22 13:14:47,2022-04-22 15:45:47
4,2022-04-22 14:25:23,2022-04-22 15:45:23
5,2022-04-22 14:25:23,2022-04-22 15:45:23
10,2022-04-22 13:14:47,2022-04-22 16:30:47
3,2022-04-22 13:14:47,2022-04-22 16:30:47
9,2022-04-22 13:14:47,2022-04-22 16:30:47
8,2022-04-22 13:14:47,2022-04-22 16:30:47
6,2022-04-22 13:14:47,2022-04-22 16:30:47
2,2022-04-22 13:14:47,2022-04-22 16:30:47
12,2022-04-22 13:14:47,2022-04-22 16:30:47
7,2022-04-22 13:14:47,2022-04-22 16:30:47
3,2022-04-23 03:58:08,2022-04-23 04:35:08
10,2022-04-23 03:58:08,2022-04-23 05:55:01
12,2022-04-24 15:55:12,2022-04-24 17:07:30
10,2022-04-24 15:55:12,2022-04-24 17:07:30
2,2022-04-25 08:42:19,2022-04-25 09:42:19
6,2022-04-25 08:42:19,2022-04-25 09:42:19
4,2022-04-25 08:42:19,2022-04-25 09:42:19
7,2022-04-25 08:42:19,2022-04-25 09:42:19
6,2022-04-25 11:01:49,2022-04-25 11:51:49
3,2022-04-25 11:01:49,2022-04-25 11:51:49
2,2022-04-25 11:01:49,2022-04-25 11:51:49
4,2022-04-25 11:01:49,2022-04-25 11:51:49

7,2022-04-25 15:11:55,2022-04-25 15:59:55
5,2022-04-25 15:11:55,2022-04-25 15:59:55
10,2022-04-25 15:11:55,2022-04-25 15:59:55
5,2022-04-25 16:52:57,2022-04-25 17:50:57
12,2022-04-26 15:08:21,2022-04-26 16:17:33
6,2022-04-26 15:08:21,2022-04-26 16:17:33
4,2022-04-26 15:08:21,2022-04-26 16:17:33
9,2022-04-26 15:08:21,2022-04-26 16:17:33
3,2022-04-26 15:08:21,2022-04-26 16:17:33
2,2022-04-26 15:08:21,2022-04-26 16:17:33
5,2022-04-26 21:45:09,2022-04-26 22:15:02
3,2022-04-27 05:08:17,2022-04-27 05:45:01
7,2022-04-27 05:08:17,2022-04-27 05:45:01
5,2022-04-27 05:08:17,2022-04-27 05:45:01
10,2022-04-27 05:08:17,2022-04-27 05:45:01
2,2022-04-27 07:09:14,2022-04-27 07:40:14
4,2022-04-27 07:09:14,2022-04-27 07:40:14
7,2022-04-27 07:09:14,2022-04-27 07:40:14
6,2022-04-27 07:09:14,2022-04-27 07:40:14
10,2022-04-27 14:07:11,2022-04-27 14:34:19
12,2022-04-27 14:07:11,2022-04-27 14:34:19
3,2022-04-27 15:18:23,2022-04-27 15:40:23
7,2022-04-27 15:18:23,2022-04-27 15:40:23
10,2022-04-27 15:18:23,2022-04-27 15:40:23
8,2022-04-27 15:18:23,2022-04-27 15:40:23
2,2022-04-27 15:18:23,2022-04-27 15:40:23
12,2022-04-27 15:18:23,2022-04-27 15:40:23
9,2022-04-27 15:18:23,2022-04-27 15:40:23
6,2022-04-27 15:18:23,2022-04-27 15:40:23
10,2022-04-27 17:17:00,2022-04-27 17:59:00
10,2022-04-27 17:17:00,2022-04-27 18:50:00
5,2022-04-29 21:13:37,2022-04-29 21:40:22
3,2022-04-29 21:13:37,2022-04-29 21:40:22
12,2022-04-30 15:23:54,2022-04-30 16:45:54
10,2022-04-30 15:23:54,2022-04-30 16:45:54
2,2022-05-02 07:00:49,2022-05-02 07:25:49
7,2022-05-02 07:00:49,2022-05-02 07:25:49
6,2022-05-02 07:00:49,2022-05-02 07:25:49
12,2022-05-03 06:51:33,2022-05-03 07:30:33
10,2022-05-03 06:51:33,2022-05-03 07:30:33
2,2022-05-05 11:16:10,2022-05-05 11:45:02
8,2022-05-05 11:16:10,2022-05-05 11:45:02
4,2022-05-05 11:16:10,2022-05-05 11:45:02
5,2022-05-05 11:16:10,2022-05-05 11:45:02
8,2022-05-05 12:03:53,2022-05-05 12:55:02
9,2022-05-05 12:03:53,2022-05-05 12:55:02
3,2022-05-05 12:03:53,2022-05-05 12:55:02
6,2022-05-05 12:03:53,2022-05-05 12:55:02
2,2022-05-05 12:03:53,2022-05-05 12:55:02
8,2022-05-05 16:34:56,2022-05-05 17:00:04
2,2022-05-05 16:34:56,2022-05-05 17:00:04
4,2022-05-05 16:34:56,2022-05-05 17:00:04
5,2022-05-05 16:34:56,2022-05-05 17:00:04
10,2022-05-06 14:07:17,2022-05-06 14:30:03
12,2022-05-06 14:07:17,2022-05-06 14:30:03
10,2022-05-07 14:58:53,2022-05-07 15:58:53
4,2022-05-11 08:18:48,2022-05-11 08:40:48
10,2022-05-11 14:01:37,2022-05-11 14:30:37
3,2022-05-11 14:01:37,2022-05-11 14:30:37
7,2022-05-11 14:01:37,2022-05-11 14:55:12
2,2022-05-11 14:08:12,2022-05-11 14:55:12
6,2022-05-11 14:08:12,2022-05-11 14:55:12
4,2022-05-11 14:08:12,2022-05-11 14:55:12
5,2022-05-12 06:29:47,2022-05-12 07:15:47
9,2022-05-12 06:29:47,2022-05-12 07:15:47
6,2022-05-12 06:29:47,2022-05-12 07:15:47
12,2022-05-12 06:29:47,2022-05-12 07:15:47
5,2022-05-12 22:45:21,2022-05-12 23:59:21
6,2022-05-12 22:45:21,2022-05-12 23:59:21
2,2022-05-12 22:45:21,2022-05-12 23:59:21
5,2022-05-13 08:46:20,2022-05-13 09:35:01
2,2022-05-13 08:46:20,2022-05-13 09:35:01
8,2022-05-13 08:46:20,2022-05-13 09:35:01
4,2022-05-13 08:46:20,2022-05-13 09:35:01
3,2022-05-13 08:46:20,2022-05-13 09:35:01