stopId,meanDelayAll,meanDelayRushHour,meanDelayLightTraffic,meanDelayWeekend,meanDelayWeekday
221,120.40,146.38,100.62,75.95,128.63
2230,179.23,218.73,152.08,117.21,190.73
2228,133.19,170.39,107.62,76.21,143.76
2226,170.70,205.76,146.59,117.76,180.51
2224,112.05,149.70,86.17,56.13,122.42
2222,155.32,198.27,125.79,94.37,166.62
2218,175.58,226.15,137.74,118.76,186.11
2216,157.19,212.45,115.84,92.24,169.23
2214,134.75,186.37,96.14,76.37,145.58
2212,151.27,203.93,112.52,86.03,163.36
14464,244.24,366.20,203.20,199.37,261.13
2102,203.07,283.53,163.49,150.67,214.24
2001,251.89,321.26,216.46,223.78,256.64
2005,244.93,318.24,197.88,236.69,246.04
2007,234.64,309.95,186.31,228.63,235.45
2009,251.50,322.74,205.78,234.97,253.71
2011,231.80,306.35,181.77,206.22,235.22
2013,253.19,314.97,213.53,210.34,261.13
2071,207.54,250.42,184.82,155.33,217.18
2073,192.75,235.14,170.29,138.61,202.75
2075,250.96,293.98,227.73,190.19,262.18
2077,255.29,308.55,228.13,183.21,268.59
2079,231.36,279.56,205.33,157.32,245.03
2081,223.19,268.93,198.96,155.62,235.66
2083,213.56,260.29,189.50,145.65,226.09
2085,213.15,257.36,190.39,145.85,225.58
2087,208.08,253.04,184.72,142.19,220.25
2089,230.38,277.82,205.97,166.49,242.18
2091,226.54,274.92,202.36,165.12,237.88
2093,224.70,285.41,193.14,162.74,236.14
2095,208.49,256.01,184.95,147.90,219.67
2097,229.55,279.21,205.68,172.62,240.06
2099,252.59,300.01,229.79,182.17,265.59
2054,228.42,415.34,144.75,116.50,247.36
2052,232.56,419.39,148.92,119.14,251.75
2050,229.23,418.69,148.29,112.36,249.01
2048,230.62,410.87,152.40,108.09,251.36
2046,282.22,468.56,195.56,217.82,291.93
2045,79.66,68.60,81.09,58.93,85.55
2047,71.18,86.33,69.22,34.86,81.51
2049,59.69,82.13,56.79,27.24,68.92
2051,45.35,60.60,43.38,12.00,54.83
2100,80.44,84.70,79.26,61.96,84.33
2098,103.62,109.64,101.89,83.11,107.94
2096,88.49,83.09,89.99,76.68,90.97
2094,140.40,135.61,141.73,133.39,141.88
2092,116.51,112.60,117.66,103.62,119.23
2090,90.97,91.01,90.95,85.02,92.22
2088,92.78,90.90,93.33,88.12,93.76
2086,89.52,88.74,89.74,89.27,89.57
2084,88.21,86.14,88.82,88.30,88.20
2082,90.10,85.55,91.43,92.73,89.54
2080,133.93,143.46,131.23,133.93,133.93
2078,117.62,115.55,118.20,126.59,115.73
2076,107.71,121.40,103.77,108.02,107.65
2074,118.65,131.78,114.87,116.96,119.01
2072,134.24,149.38,129.72,129.50,135.23
2014,185.21,298.76,124.75,138.40,191.95
2012,238.65,355.36,174.99,167.40,248.91
2010,268.03,429.50,162.65,200.72,276.23
2008,210.67,335.33,142.67,140.68,220.75
2006,244.35,374.33,173.88,176.83,254.08
2002,258.99,369.23,205.02,206.63,266.75
2101,275.72,359.51,239.24,147.15,295.67
2207,318.90,606.71,246.62,166.23,341.26
2211,312.81,587.23,240.73,149.09,336.79
2213,288.74,557.47,218.15,132.17,311.67
2215,324.93,606.28,251.03,162.31,348.75
2217,342.37,624.14,268.36,174.63,366.94
2221,346.60,627.77,272.40,177.17,371.52
2223,352.57,621.03,272.03,198.31,375.25
2225,339.48,606.81,259.28,186.91,361.91
2227,272.71,541.06,192.21,122.40,294.82
2229,331.72,620.32,245.14,173.91,354.93
2231,712.65,706.14,714.64,990.11,671.15
213,253.32,305.30,213.37,235.32,255.52
2030,161.69,249.07,104.24,160.03,161.88
2028,182.49,269.30,122.99,181.33,182.63
2026,211.93,307.98,149.22,193.51,214.09
2024,170.97,268.36,106.49,151.87,173.21
2022,179.04,285.54,111.90,154.63,181.91
2020,224.97,333.57,156.99,187.65,229.35
2018,187.33,300.43,116.53,144.76,192.33
2016,200.98,307.64,130.85,154.79,206.40
2130,70.44,61.06,74.54,30.47,76.60
2128,88.34,78.55,92.81,45.02,95.02
2126,103.57,95.82,107.11,65.33,109.46
2124,98.64,90.52,102.35,62.14,104.27
2122,112.64,108.12,114.68,79.00,117.83
2120,117.91,110.43,121.28,87.84,122.54
2118,118.84,110.36,122.65,90.81,123.15
2116,137.97,129.86,141.62,112.14,141.95
2114,153.43,179.61,139.48,116.81,159.08
2110,154.84,229.92,114.80,89.86,164.85
2108,194.29,259.17,157.75,128.79,204.38
2106,194.78,257.75,158.83,131.47,204.53
2104,192.88,256.56,156.53,136.53,201.56
2061,188.46,170.56,195.85,162.21,193.28
2063,150.40,127.47,159.87,130.50,154.06
2065,133.25,111.78,142.11,114.82,136.63
2067,137.63,121.12,144.45,117.68,141.30
2069,173.85,152.20,182.99,153.97,177.51
2055,181.35,207.59,166.45,148.09,185.77
2057,167.54,193.09,153.69,136.76,171.63
201,660.39,738.12,622.75,675.22,658.57
207,217.85,234.32,211.83,121.56,231.82
2015,290.58,391.98,225.51,297.02,289.90
2017,239.49,328.61,182.30,249.43,238.43
2019,258.09,364.60,195.08,251.55,258.78
2021,204.34,313.04,140.03,201.30,204.66
2023,243.89,347.75,182.45,241.22,244.17
2025,259.91,369.20,189.77,248.50,261.12
2027,217.67,312.43,154.37,197.35,219.82
2029,224.74,321.65,161.92,208.88,226.42
2031,251.57,341.49,193.28,241.62,252.62
14825,474.99,598.52,418.40,560.15,458.76
14827,100.90,148.95,78.55,182.90,91.95
14821,138.23,190.54,113.89,230.74,128.13
14819,110.32,164.39,85.17,198.87,100.65
14818,134.94,180.80,109.63,228.48,124.73
14815,156.80,206.17,130.68,253.19,146.28
14547,159.96,213.64,131.55,256.87,149.38
14546,126.31,176.43,100.53,230.45,114.95
14538,177.04,223.90,152.93,273.35,166.52
14540,166.91,223.79,137.65,266.77,156.01
14536,144.13,190.78,120.13,243.16,133.32
2150,199.34,226.96,184.92,287.23,189.74
2148,198.49,228.23,182.97,284.39,189.11
2146,195.64,227.47,179.95,281.55,186.26
2144,233.34,272.82,214.70,322.55,223.60
2142,240.58,307.88,208.82,312.23,232.76
2140,251.91,323.66,218.04,329.39,243.45
2138,280.54,338.76,250.16,343.23,273.70
2033,242.21,333.46,196.37,270.48,239.11
2035,206.22,283.63,167.33,239.29,202.59
2037,222.70,295.36,186.20,262.03,218.39
2039,218.46,291.58,181.72,258.71,214.05
2041,226.59,293.43,190.55,256.45,223.32
2043,241.01,295.58,213.99,272.65,237.55
202,541.41,433.57,603.03,1246.97,475.53
2044,255.55,450.64,139.06,292.61,252.20
2042,264.10,456.29,149.33,287.79,261.95
2040,257.64,447.07,144.52,289.82,254.72
2038,280.96,463.87,171.73,302.25,279.03
2036,276.76,461.91,166.19,306.29,274.08
2034,275.87,469.00,164.86,298.61,273.81
2137,436.73,632.62,303.39,485.18,430.74
2139,413.30,609.04,280.06,467.64,406.58
2141,379.49,576.23,245.56,438.05,372.25
2143,386.18,583.54,251.84,445.05,378.90
2145,392.17,586.89,256.86,445.64,385.56
2147,415.02,607.39,281.34,463.95,408.97
2149,388.76,566.23,265.44,441.00,382.31
14535,409.21,584.61,287.33,438.05,405.65
14537,441.23,616.18,319.65,467.59,437.97
14539,463.89,633.33,346.15,496.68,459.84
14545,452.35,621.89,334.53,481.86,448.70
14587,485.93,648.77,368.00,503.59,483.74
14816,481.71,667.99,362.61,495.64,479.99
14817,471.04,660.94,349.63,485.95,469.20
14820,486.35,675.14,365.65,508.09,483.66
14822,516.22,702.96,396.83,542.95,512.92
14829,477.80,666.18,357.35,492.95,475.92
2103,253.50,285.13,235.58,143.02,271.24
2105,247.88,280.41,229.44,137.47,265.61
2107,267.25,295.29,252.12,164.85,283.70
2109,234.71,260.06,221.03,137.44,250.33
2113,205.91,227.23,194.18,126.13,218.73
2115,193.92,217.62,181.13,101.37,208.78
2117,190.74,213.17,178.75,106.61,204.25
2119,192.82,218.69,177.88,111.48,205.88
2121,196.68,224.76,181.39,118.53,209.24
2123,197.69,228.01,181.17,113.05,211.28
2125,185.03,208.72,170.95,105.27,197.84
2127,215.89,239.66,201.76,132.58,229.27
2129,184.95,210.37,170.41,103.05,198.11
2131,172.09,174.79,170.47,72.19,197.06
14664,445.70,380.98,481.30,517.42,427.77
2058,94.18,220.55,38.33,31.24,101.34
2056,165.26,291.68,109.38,74.03,175.64
2070,99.98,108.11,96.77,105.96,98.99
2068,69.08,73.76,67.42,77.96,67.62
2066,66.80,71.62,65.09,68.85,66.46
2064,55.83,61.17,54.04,60.33,55.09
2062,81.28,87.10,79.32,87.41,80.27
14655,203.20,221.22,169.17,-,203.20
2133,188.96,206.45,147.77,-,188.96
2135,146.97,169.72,109.05,-,146.97
2219,244.00,-,244.00,-,244.00
